topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,class_atr
0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.318110409,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.341834962,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.330559679,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,0.00020202,negative
0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.520543309,0.053157108,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.219888758,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.196623591,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,0.000212766,negative
6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,0.185052841,6.92E-05,0.040907381,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,0.434638885,6.92E-05,6.92E-05,6.92E-05,0.336217502,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,6.92E-05,negative
8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,0.727786299,8.44E-05,8.44E-05,8.44E-05,8.44E-05,0.268163068,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,8.44E-05,negative
8.77E-05,8.77E-05,8.77E-05,8.77E-05,0.252036894,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,8.77E-05,0.019680992,8.77E-05,8.77E-05,8.77E-05,0.530406653,0.015852431,8.77E-05,8.77E-05,8.77E-05,0.132496121,8.77E-05,8.77E-05,0.045667261,8.77E-05,8.77E-05,8.77E-05,8.77E-05,negative
0.000140845,0.000140845,0.000140845,0.000140845,0.057569976,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.356836768,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.177083023,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.03245751,0.000140845,0.000140845,0.356085435,0.000140845,0.000140845,0.000140845,0.000140845,0.000140845,0.013770105,0.000140845,0.000140845,0.000140845,negative
9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,0.234626015,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,0.222902858,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,9.85E-05,0.537840585,9.85E-05,9.85E-05,9.85E-05,9.85E-05,negative
7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,0.996410256,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,7.33E-05,negative
8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,0.995967078,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,8.23E-05,negative
9.05E-05,9.05E-05,9.05E-05,9.05E-05,0.17762698,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,0.056436349,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,0.540641691,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,9.05E-05,0.031748198,9.05E-05,0.044295389,9.05E-05,9.05E-05,9.05E-05,0.145269492,9.05E-05,9.05E-05,9.05E-05,negative
